color,Network,Location,Component,lat,lon
red,EMEP,Abastumani,SO2.concentration,41.755053,42.825333
red,EMEP,Ahtari,SO2.concentration,62.583333,24.183333
red,EMEP,Amberd,NH3.concentration,40.38444444,44.260583333
red,EMEP,Anholt,NO.concentration,56.716667,11.516667
red,EMEP,Auchencorth.moss,1-2-4-trimethylbenzene,55.79216,-3.242
red,EMEP,Auchencorth.moss,reactive.gaseous.mercury,55.79216,-3.2429
red,EMEP,Ayia.marina,NO2.concentration,35.039165,33.058056
red,EMEP,Barcarrota,NH3.concentration,38.475833,-6.922778
red,ACTRIS-INSITU,Birkenes II,isoprene,58.38853,8.252
red,EMEP,Cabauw Wielsekade,CO.concentration,51.974444,4.923611
red,EMEP,Cabo.de.creus,NO2.concentration,42.319444,3.316944
red, ACTRIS-INSITU,	SIRTA Atmospheric Research Observatory,	NO2.concentration,	48.7086111111,	2.1588888889
red, EMEP,	Sniezka,	SO2.concentration,	50.733333,	15.733333
red, EMEP,	Starina,	ethyne,	49.05,	22.266667
red, EMEP,	Tange,	SO2.concentration,	56.35,	9.6
red, ACTRIS-INSITU,	Tanikon,	NO2.concentration,	47.479722,	8.904722
red, EMEP,	Troll,	mercury,	-72.016667,	2.533333,
red, EMEP,	Tustervatn,	HNO3.concentration,	65.833333,	13.916667
red, EMEP,	Ulborg,	SO2.concentration,	56.283333,	8.433333
red, EMEP,	Uto,	SO2.concentration,	59.779167,	21.377222
red, EMEP,	Valentia,	SO2.concentration,	51.939722,	-10.244444
red, EMEP,	Verneuil,	O3.concentration,	46.814727778,	2.610008333
red, EMEP,	Vezin,	O3.concentration,	50.503333,	4.989444
red, EMEP,	Vilsandi,	O3.concentration,	58.383333,	21.816667
red, EMEP,	Virolahti,	NH3.concentration,	60.526667,	27.686111
red, EMEP,	Virolahti III,	O3.concentration,	60.53002,	27.66754
red, EMEP,	Viznar,	NH3.concentration,	37.233333,	-3.533333
red, EMEP,	Vredepeel,	NO.concentration,	51.541111,	5.853611
red, EMEP,	Waldhof,	ethyne,	52.802222,	10.759444
red, EMEP,	Westerland,	NO2.concentration,	54.925556,	8.309722
red, EMEP,	Zabljak,	NOx.concentration,	43.15,	19.133333
red, EMEP,	Zarodnje,	O3.concentration,	46.428611,	15.003333
red, EMEP,	Zarra,	NO.concentration,	39.086111,	-1.101944
red, EMEP,	Zeppelin mountain (Ny-Ålesund),	CO2.concentration,	78.906667,	11.888333
red, EMEP,	Zingst,	NH3.concentration,	54.433333,	12.733333
