network,location,component,lat,lon,station_type
EMEP,Abastumani,	SO2.concentration,	41.755053,	42.825333,	tracegases
EMEP,	Sniezka,	SO2.concentration,	50.733333,	15.733333,	tracegases
EMEP,	Starina,	ethyne,	49.05,	22.266667,	tracegases
EMEP,	Tange,	SO2.concentration,	56.35,	9.6,	tracegases
ACTRIS-INSITU,	Tanikon,	NO2.concentration,	47.479722,	8.904722,	tracegases
EMEP,	Troll,	mercury,	-72.016667,	2.533333,	tracegases
EMEP,	Tustervatn,	HNO3.concentration,	65.833333,	13.916667,	tracegases
EMEP,	Ulborg,	SO2.concentration,	56.283333,	8.433333,	tracegases
EMEP,	Uto,	SO2.concentration,	59.779167,	21.377222,	tracegases
EMEP,	Valentia,	SO2.concentration,	51.939722,	-10.244444,	tracegases
EMEP,	Verneuil,	O3.concentration,	46.814727778,	2.610008333,	tracegases
EMEP,	Vezin,	O3.concentration,	50.503333,	4.989444,	tracegases
EMEP,	Vilsandi,	O3.concentration,	58.383333,	21.816667,	tracegases
EMEP,	Virolahti,	NH3.concentration,	60.526667,	27.686111,	tracegases
EMEP,	Virolahti III,	O3.concentration,	60.53002,	27.66754,	tracegases
EMEP,	Viznar,	NH3.concentration,	37.233333,	-3.533333,	tracegases
EMEP,	Vredepeel,	NO.concentration,	51.541111,	5.853611,	tracegases
EMEP,	Waldhof,	ethyne,	52.802222,	10.759444,	tracegases
EMEP,	Westerland,	NO2.concentration,	54.925556,	8.309722,	tracegases
EMEP,	Zabljak,	NOx.concentration,	43.15,	19.133333,	tracegases
EMEP,	Zarodnje,	O3.concentration,	46.428611,	15.003333,	tracegases
EMEP,	Zarra,	NO.concentration,	39.086111,	-1.101944,	tracegases
EMEP,	Zeppelin mountain (Ny-Ålesund),	CO2.concentration,	78.906667,	11.888333,	tracegases
EMEP,	Zingst,	NH3.concentration,	54.433333,	12.733333,	tracegases
ACTRIS-EARLINET,	Alomar,	aerosol.backscatter.coefficient,	69.278,	16.008,	profiles
ACTRIS-EARLINET,	Astrophysical Laboratory Catania,	aerosol.backscatter.coefficient,	37.5,	15.07,	profiles
ACTRIS-EARLINET,	Athens,	aerosol.backscatter.coefficient,	37.96,	23.78,	profiles
ACTRIS-EARLINET,	Barcelona,	aerosol.backscatter.coefficient,	41.393,	2.12,	profiles
ACTRIS-EARLINET,	Belsk,	aerosol.backscatter.coefficient,	51.835,	20.791,	profiles
ACTRIS-EARLINET,	Belsk,	aerosol.backscatter.coefficient,	51.5,	20.47,	profiles
ACTRIS-EARLINET,	Bucharest,	aerosol.backscatter.coefficient,	44.348,	26.029,	profiles
ACTRIS-EARLINET,	Cabauw,	aerosol.backscatter.coefficient,	51.97,	4.93,	profiles
ACTRIS-EARLINET,	Clermont-Ferrand,	aerosol.backscatter.coefficient,	45.761,	3.111,	profiles
ACTRIS-EARLINET,	Cork,	aerosol.backscatter.coefficient,	51.893,	-8.494,	profiles
ACTRIS-EARLINET,	Evora,	aerosol.backscatter.coefficient,	38.5678,	7.9115,	profiles
ACTRIS-EARLINET,	Garmisch.partenkirchen,	aerosol.backscatter.coefficient,	47.477,	11.064,	profiles
ACTRIS-EARLINET,	Granada,	aerosol.backscatter.coefficient,	37.16,	-3.6,	profiles
ACTRIS-EARLINET,	Ispra,	aerosol.backscatter.coefficient,	45.815,	8.638,	profiles
ACTRIS-EARLINET,	Ispra,	aerosol.backscatter.coefficient,	45.8244,	8.6377,	profiles
ACTRIS-EARLINET,	Kuopio,	aerosol.backscatter.coefficient,	62.74,	27.54,	profiles
ACTRIS-EARLINET,	L.aquila,	aerosol.backscatter.coefficient,	42.37,	13.35,	profiles
ACTRIS-EARLINET,	Lecce,	aerosol.backscatter.coefficient,	40.3,	18.1,	profiles
