network,Location,Component,lat,lon
ACTRIS-INSITU,	Finokalia,	reference.zero.signal,	35.316667,	25.666667
ACTRIS-INSITU,	Granada,	pressure,	37.164,	-3.605
ACTRIS-INSITU,	Harwell,	ethane,	51.573056,	-1.316667
ACTRIS-INSITU,	Hohenpeissenberg,	m-p-xylene,	47.8,	11.016667
ACTRIS-INSITU,	Hurdal,	elemental.carbon,	60.372386,	11.078142
ACTRIS-INSITU,	Hyytiala,	temperature,	61.85,	24.283333
ACTRIS-INSITU,	Ispra,	particle.number.size.distribution,	45.8,	8.633333
ACTRIS-INSITU,	Jungfraujoch,	aerosol.scattering.coefficient,	46.5475,	7.985
ACTRIS-INSITU,	Kosetice,	NO.concentration,	49.573394,	15.080278
ACTRIS-INSITU,	K-Puszta,	aerosol.absorption.coefficient,	46.966667, 19.583333
ACTRIS-INSITU,	Kresin u Pacova,	relative.humidity,	49.58333,	15.08333
ACTRIS-INSITU,	La.tardiere,	1-3-5-trimethylbenzene,	46.65,	-0.75
ACTRIS-INSITU,	Leipzig,	aerosol.absorption.coefficient,	51.333333,	12.433333
ACTRIS-INSITU,	London - North Kensington,	particle.number.concentration,	51.521,	-0.2135
ACTRIS-INSITU,	Mace.head,	sensing.beam.signal,	53.32583,	-9.89944
ACTRIS-INSITU,	Melpitz,	organic.carbon.concentration,	51.53014,	12.93386
ACTRIS-INSITU,	Montsec,	temperature,	42.05134,	0.72956
ACTRIS-INSITU,	Montseny,	aerosol.absorption.coefficient,	41.766667,	2.35
ACTRIS-INSITU,	Mount Chacaltaya,	equivalent_black_carbon,	-16.2000007629,	-68.0999984741
ACTRIS-INSITU,	Mt.cimone,	particle.number.concentration,	44.183333,	10.7
ACTRIS-INSITU,	Observatoire Perenne de l'Environnement,	sensing.zero.signal,	48.5622222222,	5.5055555556
ACTRIS-INSITU,	Pallas (Sammaltunturi),	particle.number.concentration,	67.973333333,	24.116111111
ACTRIS-INSITU,	Payerne,	NO2.concentration,	46.813056,	6.944722
ACTRIS-INSITU,	Peyrusse.vieille,	1-hexene,	43.616667,	0.183333
ACTRIS-INSITU,	Pic du Midi,	flow.rate,	42.936667,	0.141944
ACTRIS-INSITU,	Preila,	aerosol.scattering.coefficient,	55.3761111111,	21.0305555556
ACTRIS-INSITU,	Puy.de.Dome,	total.carbon.concentration,	45.76667,	2.95
ACTRIS-INSITU,	Rigi,	magnesium,	47.0675,	8.463889
ACTRIS-INSITU,	Schneefernerhaus,	pressure,	47.4166667,	10.9816667
ACTRIS-INSITU,	SIRTA Atmospheric Research Observatory,	NO.concentration,	48.7086111111,	2.1588888889
ACTRIS-INSITU,	Tanikon,	NO2.concentration,	47.479722,	8.904722
ACTRIS-INSITU,	Troll,	temperature,	-72.016667,	2.533333
ACTRIS-INSITU,	Trollhaugen,	temperature,	-72.0117,	2.5351
ACTRIS-INSITU,	Ústí n.L.-mesto,	pressure,	50.66109,	14.04029
ACTRIS-INSITU,	Vavihill,	organic.carbon.concentration,	56.016667,	13.15
ACTRIS-INSITU,	Zeppelin mountain (Ny-Ålesund),	pressure,	78.906667,	11.888333
